date,latitude,longitude,temperature,humidity,rainfall,wind_speed,pressure
1981-01-01,8.0,73.0,26.97,77.94,1.11,1.71,1010.6
1981-01-01,8.0,78.0,26.44,85.34,25.82,6.55,1010.8
1981-01-01,8.0,83.0,26.46,81.64,8.3,4.9,1010.9
1981-01-01,13.0,73.0,27.81,71.74,0.0,3.99,1011.1
1981-01-01,13.0,78.0,20.63,73.62,0.0,2.75,924.4
1981-01-01,13.0,83.0,26.08,77.47,0.09,6.38,1012.4
1981-01-01,18.0,73.0,24.92,62.66,0.0,2.84,999.8
1981-01-01,18.0,78.0,21.77,50.6,0.0,1.98,956.1
1981-01-01,18.0,83.0,21.71,75.6,0.08,1.46,980.6
1981-01-01,23.0,68.0,22.29,65.7,0.0,3.99,1016.1
1981-01-01,23.0,73.0,20.66,46.5,0.0,1.47,1005.1
1981-01-01,23.0,78.0,18.06,54.05,0.0,1.06,972.9
1981-01-01,23.0,83.0,14.99,63.14,0.0,1.45,943.5
1981-01-01,23.0,88.0,17.79,62.4,0.0,1.95,1012.2
1981-01-01,23.0,93.0,14.63,58.39,0.0,0.26,905.6
1981-01-01,28.0,68.0,18.95,41.54,0.0,1.04,1008.1
1981-01-01,28.0,73.0,17.48,45.74,0.0,1.68,989.1
1981-01-01,28.0,78.0,14.82,49.72,0.0,2.73,993.2
1981-01-01,28.0,83.0,12.57,43.79,0.0,1.23,884.9
1981-01-01,28.0,88.0,-9.13,51.28,0.01,1.4,564.6
1981-01-01,28.0,93.0,1.89,86.82,1.3,0.87,722.0
1981-01-01,33.0,73.0,12.6,51.55,0.0,1.59,963.5
1981-01-01,33.0,78.0,-18.6,63.37,0.0,1.49,540.0
1981-01-01,33.0,83.0,-13.47,46.46,0.0,1.95,566.0
1981-01-01,33.0,88.0,-15.55,73.62,0.0,2.43,551.8
1981-01-01,33.0,93.0,-15.2,61.04,0.07,2.6,556.8
1981-01-02,8.0,73.0,26.57,79.43,10.25,1.48,1010.6
1981-01-02,8.0,78.0,26.4,82.97,42.5,6.56,1011.0
1981-01-02,8.0,83.0,25.81,83.02,22.92,3.43,1011.2
1981-01-02,13.0,73.0,27.55,73.03,0.0,4.35,1011.0
1981-01-02,13.0,78.0,21.12,73.07,0.95,2.01,924.1
1981-01-02,13.0,83.0,25.6,76.66,0.0,5.89,1012.7
1981-01-02,18.0,73.0,24.66,63.77,0.0,2.28,999.7
1981-01-02,18.0,78.0,21.62,41.99,0.0,1.66,955.6
1981-01-02,18.0,83.0,21.31,74.24,0.84,1.3,980.7
