date,city,temperature,humidity,rainfall,wind_speed
2019-01-01,Delhi,15.0,46,0.0,3.5
2019-01-02,Delhi,17.9,57,0.0,2.1
2019-01-03,Delhi,11.5,60,0.0,3.9
2019-01-04,Delhi,16.8,54,0.0,2.9
2019-01-05,Delhi,12.5,62,11.0,3.0
2019-01-06,Delhi,13.2,52,0.0,1.1
2019-01-07,Delhi,15.0,59,0.0,3.2
2019-01-08,Delhi,18.6,57,0.0,4.1
2019-01-09,Delhi,14.4,54,0.0,2.3
2019-01-10,Delhi,13.9,57,0.0,3.2
2019-01-11,Delhi,15.6,55,0.0,5.2
2019-01-12,Delhi,12.8,56,0.0,3.6
2019-01-13,Delhi,14.0,63,0.0,4.4
2019-01-14,Delhi,16.7,51,0.0,4.4
2019-01-15,Delhi,15.8,50,0.0,4.4
2019-01-16,Delhi,12.9,57,0.0,4.3
2019-01-17,Delhi,13.4,62,0.0,3.7
2019-01-18,Delhi,19.5,62,0.0,2.3
2019-01-19,Delhi,14.6,61,0.0,2.0
2019-01-20,Delhi,16.1,57,0.0,3.1
2019-01-21,Delhi,15.2,59,0.0,2.2
2019-01-22,Delhi,15.4,51,0.0,1.8
2019-01-23,Delhi,17.5,57,0.0,1.8
2019-01-24,Delhi,18.0,52,0.0,3.5
2019-01-25,Delhi,14.5,52,0.0,3.5
2019-01-26,Delhi,14.6,57,0.0,3.3
2019-01-27,Delhi,17.1,60,0.0,5.1
2019-01-28,Delhi,18.8,52,0.0,1.3
2019-01-29,Delhi,15.4,54,0.0,2.2
2019-01-30,Delhi,16.9,55,0.0,5.6
2019-01-31,Delhi,17.3,54,0.0,5.5
2019-02-01,Delhi,14.9,50,0.0,4.7
2019-02-02,Delhi,16.3,48,0.0,2.3
2019-02-03,Delhi,14.9,57,0.0,3.9
2019-02-04,Delhi,13.8,59,0.0,2.6
2019-02-05,Delhi,15.2,49,0.0,3.2
2019-02-06,Delhi,17.0,63,0.0,4.6
2019-02-07,Delhi,20.8,52,11.3,3.5
2019-02-08,Delhi,20.5,53,0.0,2.4
2019-02-09,Delhi,16.5,53,0.0,4.2
2019-02-10,Delhi,17.0,53,0.0,1.5
2019-02-11,Delhi,17.3,55,8.5,2.6
2019-02-12,Delhi,16.4,52,0.0,3.5
2019-02-13,Delhi,17.0,63,0.0,2.6
2019-02-14,Delhi,16.5,50,0.0,3.9
2019-02-15,Delhi,21.3,52,0.0,2.1
2019-02-16,Delhi,16.2,50,0.0,2.1
2019-02-17,Delhi,16.7,52,0.0,2.7
2019-02-18,Delhi,16.8,55,0.0,3.1
2019-02-19,Delhi,13.3,55,0.0,1.5
2019-02-20,Delhi,16.9,49,0.0,2.2
2019-02-21,Delhi,19.9,47,0.0,2.8
2019-02-22,Delhi,17.9,52,0.0,2.6
2019-02-23,Delhi,20.5,49,0.0,2.9
2019-02-24,Delhi,20.7,52,0.0,3.0
2019-02-25,Delhi,15.6,60,0.0,1.6
2019-02-26,Delhi,18.2,53,0.0,3.8
2019-02-27,Delhi,18.4,45,0.0,2.8
2019-02-28,Delhi,16.0,44,0.0,3.4
2019-03-01,Delhi,20.5,55,0.0,3.2
2019-03-02,Delhi,16.4,55,0.0,2.5
2019-03-03,Delhi,19.4,55,0.0,3.3
2019-03-04,Delhi,15.6,57,0.0,4.7
2019-03-05,Delhi,18.5,45,0.0,0.5
2019-03-06,Delhi,20.3,46,0.0,1.3
2019-03-07,Delhi,21.7,45,8.5,3.3
2019-03-08,Delhi,19.9,45,0.0,1.4
2019-03-09,Delhi,20.8,52,0.0,3.4
2019-03-10,Delhi,19.6,46,0.0,3.5
2019-03-11,Delhi,20.6,47,0.0,1.3
2019-03-12,Delhi,18.1,55,0.0,2.0
2019-03-13,Delhi,20.3,54,0.0,4.0
2019-03-14,Delhi,19.2,43,0.0,2.3
2019-03-15,Delhi,20.6,45,0.0,2.6
2019-03-16,Delhi,16.1,47,9.0,2.7
2019-03-17,Delhi,20.2,43,0.0,1.6
2019-03-18,Delhi,21.0,53,0.0,3.3
2019-03-19,Delhi,19.5,48,0.0,3.1
2019-03-20,Delhi,26.3,51,0.0,2.0
2019-03-21,Delhi,23.5,42,0.0,2.4
2019-03-22,Delhi,22.3,48,0.0,3.6
2019-03-23,Delhi,27.0,45,0.0,2.3
2019-03-24,Delhi,23.3,45,0.0,2.5
2019-03-25,Delhi,25.4,45,0.0,3.4
2019-03-26,Delhi,20.1,47,0.0,3.8
2019-03-27,Delhi,24.8,47,0.0,2.8
2019-03-28,Delhi,19.8,44,0.0,3.7
2019-03-29,Delhi,21.0,48,0.0,3.4
2019-03-30,Delhi,21.7,46,0.0,2.4
2019-03-31,Delhi,22.0,44,0.0,2.5
2019-04-01,Delhi,24.2,44,0.0,4.2
2019-04-02,Delhi,21.4,52,0.0,3.8
2019-04-03,Delhi,20.9,44,0.0,3.1
2019-04-04,Delhi,24.4,36,0.0,3.3
2019-04-05,Delhi,22.0,55,0.0,4.7
2019-04-06,Delhi,24.1,46,0.0,1.9
2019-04-07,Delhi,25.6,49,0.0,4.1
2019-04-08,Delhi,20.9,38,0.0,1.5
2019-04-09,Delhi,26.2,43,0.0,3.5
2019-04-10,Delhi,19.4,44,0.0,3.4
2019-04-11,Delhi,23.8,54,0.0,3.4
2019-04-12,Delhi,25.5,46,0.0,4.7
2019-04-13,Delhi,27.2,41,6.1,2.9
2019-04-14,Delhi,28.0,51,13.9,1.2
2019-04-15,Delhi,21.0,44,0.0,2.0
2019-04-16,Delhi,26.6,51,0.0,2.1
2019-04-17,Delhi,27.7,47,0.0,5.4
2019-04-18,Delhi,29.1,44,0.0,3.9
2019-04-19,Delhi,29.3,47,0.0,3.3
2019-04-20,Delhi,28.1,44,0.0,3.3
2019-04-21,Delhi,25.8,50,0.0,1.1
2019-04-22,Delhi,25.3,37,0.0,2.9
2019-04-23,Delhi,28.2,37,0.0,3.9
2019-04-24,Delhi,25.8,35,0.0,2.1
2019-04-25,Delhi,27.2,34,0.0,3.6
2019-04-26,Delhi,28.8,39,0.0,3.7
2019-04-27,Delhi,26.4,40,0.0,3.5
2019-04-28,Delhi,29.7,43,0.0,2.6
2019-04-29,Delhi,28.1,46,0.0,4.3
2019-04-30,Delhi,27.0,44,0.0,2.1
2019-05-01,Delhi,30.0,47,0.0,2.7
2019-05-02,Delhi,29.9,39,0.0,1.9
2019-05-03,Delhi,31.3,43,0.0,1.6
2019-05-04,Delhi,30.5,43,0.0,2.5
2019-05-05,Delhi,26.9,41,0.0,2.8
2019-05-06,Delhi,28.0,41,0.0,2.5
2019-05-07,Delhi,31.1,39,0.0,3.9
2019-05-08,Delhi,27.0,34,0.0,1.9
2019-05-09,Delhi,33.0,33,0.0,3.3
2019-05-10,Delhi,30.5,38,0.0,2.9
2019-05-11,Delhi,28.6,46,0.0,2.3
2019-05-12,Delhi,31.2,34,0.0,2.4
2019-05-13,Delhi,33.9,33,0.0,3.9
