date,temperature,humidity,rainfall,wind_speed,pressure,city
1981-01-01,21.0,68.68,0.0,2.85,919.0,Bangalore
1981-01-01,23.87,82.2,3.05,3.69,1007.4,Chennai
1981-01-01,14.4,51.15,0.0,2.85,991.0,Delhi
1981-01-01,21.94,51.32,0.03,1.8,957.5,Hyderabad
1981-01-01,24.32,57.1,0.01,2.53,1001.3,Mumbai
1981-01-02,21.53,69.01,0.42,1.91,918.7,Bangalore
1981-01-02,23.82,82.42,0.57,3.29,1007.3,Chennai
1981-01-02,15.63,50.83,0.0,1.26,990.2,Delhi
1981-01-02,21.55,44.06,0.0,1.48,957.2,Hyderabad
1981-01-02,24.0,56.36,0.0,1.58,1001.1,Mumbai
1981-01-03,21.14,68.67,0.86,2.41,918.8,Bangalore
1981-01-03,23.45,80.23,2.82,3.04,1007.6,Chennai
1981-01-03,18.07,45.63,1.51,1.41,988.7,Delhi
1981-01-03,22.3,58.57,0.06,1.66,956.7,Hyderabad
1981-01-03,22.96,52.27,0.0,1.86,1001.3,Mumbai
1981-01-04,20.84,64.0,0.0,2.23,919.0,Bangalore
1981-01-04,23.3,77.32,0.0,2.24,1007.8,Chennai
1981-01-04,17.2,55.28,11.77,1.54,988.7,Delhi
1981-01-04,22.46,56.43,0.0,1.58,956.9,Hyderabad
1981-01-04,22.16,51.67,0.0,1.75,1001.7,Mumbai
1981-01-05,20.61,62.44,0.0,1.73,919.3,Bangalore
1981-01-05,23.24,72.93,0.0,1.73,1008.2,Chennai
1981-01-05,15.98,57.97,0.02,1.27,988.5,Delhi
1981-01-05,23.23,51.5,0.0,1.44,956.7,Hyderabad
1981-01-05,22.1,66.05,0.0,1.91,1002.5,Mumbai
1981-01-06,20.69,59.11,0.0,1.45,919.2,Bangalore
1981-01-06,23.28,73.09,0.0,1.42,1007.6,Chennai
1981-01-06,13.47,61.53,4.08,2.03,989.0,Delhi
1981-01-06,23.47,40.37,0.0,1.41,956.3,Hyderabad
1981-01-06,22.26,72.7,0.0,1.89,1002.5,Mumbai
1981-01-07,20.98,52.99,0.0,1.49,918.5,Bangalore
1981-01-07,23.07,77.54,0.0,2.14,1006.5,Chennai
1981-01-07,12.33,57.5,0.0,1.77,990.3,Delhi
1981-01-07,22.89,37.41,0.0,2.26,955.7,Hyderabad
1981-01-07,21.53,63.42,0.0,2.19,1001.8,Mumbai
1981-01-08,20.81,52.55,0.0,1.19,918.3,Bangalore
1981-01-08,23.56,80.7,0.0,2.75,1006.5,Chennai
1981-01-08,11.78,50.94,0.11,2.28,991.7,Delhi
1981-01-08,21.47,38.13,0.02,2.04,956.1,Hyderabad
1981-01-08,18.86,47.45,0.0,1.98,1002.5,Mumbai
1981-01-09,19.98,67.23,4.0,2.4,918.1,Bangalore
1981-01-09,23.71,81.74,0.5,2.75,1007.2,Chennai
1981-01-09,11.75,38.1,0.0,1.55,994.5,Delhi
1981-01-09,19.39,62.23,0.15,3.61,957.5,Hyderabad
1981-01-09,19.75,47.84,0.0,1.87,1001.5,Mumbai
1981-01-10,20.5,71.99,2.26,3.28,919.3,Bangalore
1981-01-10,24.01,81.92,0.98,3.09,1008.1,Chennai
1981-01-10,13.08,35.45,0.0,0.8,995.7,Delhi
1981-01-10,18.15,79.36,0.09,3.26,958.3,Hyderabad
1981-01-10,21.92,53.58,0.0,3.1,1001.4,Mumbai
1981-01-11,20.96,68.64,0.01,2.67,919.7,Bangalore
1981-01-11,23.75,82.53,2.29,2.51,1008.6,Chennai
1981-01-11,11.85,41.65,0.0,1.17,996.1,Delhi
1981-01-11,17.38,81.58,3.35,2.74,958.5,Hyderabad
1981-01-11,22.43,62.45,0.0,1.54,1003.1,Mumbai
