feature,importance
humidity,0.44951674
wind_speed,0.24638654
rainfall_lag_1,0.101672255
temperature_lag_7,0.053262036
temperature_7day_avg,0.051918373
temperature_lag_1,0.046655234
temperature_7day_std,0.032127827
rainfall_7day_avg,0.00584634
week_of_year,0.0050553307
humidity_lag_1,0.002923624
day_of_week,0.002577126
rainfall,0.0012733594
temperature_3day_avg,0.0005897054
temperature_difference,0.0001226077
temperature_lag_3,7.146246e-05
humidity_7day_avg,1.3297694e-06
month,0.0
quarter,0.0
sin_day_of_year,0.0
cos_day_of_year,0.0
